orf	gene	crispr	rep	tech	gate	seqnum	cover
YGL202W	ARO8	a	0	1	10	C65	13
YGL202W	ARO8	a	0	1	11	C66	8
YGL202W	ARO8	a	0	1	1	C56	13
YGL202W	ARO8	a	0	1	2	C57	17
YGL202W	ARO8	a	0	1	3	C58	12
YGL202W	ARO8	a	0	1	4	C59	11
YGL202W	ARO8	a	0	1	5	C60	17
YGL202W	ARO8	a	0	1	6	C61	17
YGL202W	ARO8	a	0	1	7	C62	10
YGL202W	ARO8	a	0	1	8	C63	13
YGL202W	ARO8	a	0	1	9	C64	14
YGL202W	ARO8	i	0	1	10	C76	9
YGL202W	ARO8	i	0	1	11	C77	10
YGL202W	ARO8	i	0	1	1	C67	7
YGL202W	ARO8	i	0	1	2	C68	7
YGL202W	ARO8	i	0	1	3	C69	8
YGL202W	ARO8	i	0	1	4	C70	8
YGL202W	ARO8	i	0	1	5	C71	7
YGL202W	ARO8	i	0	1	6	C72	7
YGL202W	ARO8	i	0	1	7	C73	10
YGL202W	ARO8	i	0	1	8	C74	12
YGL202W	ARO8	i	0	1	9	C75	10
YDR099W	BMH2	a	0	1	10	C43	17
YDR099W	BMH2	a	0	1	11	C44	18
YDR099W	BMH2	a	0	1	1	C34	12
YDR099W	BMH2	a	0	1	2	C35	18
YDR099W	BMH2	a	0	1	3	C36	10
YDR099W	BMH2	a	0	1	4	C37	15
YDR099W	BMH2	a	0	1	5	C38	16
YDR099W	BMH2	a	0	1	6	C39	13
YDR099W	BMH2	a	0	1	7	C40	10
YDR099W	BMH2	a	0	1	8	C41	18
YDR099W	BMH2	a	0	1	9	C42	14
YDR099W	BMH2	i	0	1	10	C54	12
YDR099W	BMH2	i	0	1	11	C55	6
YDR099W	BMH2	i	0	1	1	C45	11
YDR099W	BMH2	i	0	1	2	C46	12
YDR099W	BMH2	i	0	1	3	C47	19
YDR099W	BMH2	i	0	1	4	C48	11
YDR099W	BMH2	i	0	1	5	C49	15
YDR099W	BMH2	i	0	1	6	C50	11
YDR099W	BMH2	i	0	1	7	C51	13
YDR099W	BMH2	i	0	1	8	C52	15
YDR099W	BMH2	i	0	1	9	C53	14
YDL022W	GPD1	a	0	1	10	C21	11
YDL022W	GPD1	a	0	1	11	C22	15
YDL022W	GPD1	a	0	1	1	C12	10
YDL022W	GPD1	a	0	1	2	C13	14
YDL022W	GPD1	a	0	1	3	C14	15
YDL022W	GPD1	a	0	1	4	C15	12
YDL022W	GPD1	a	0	1	5	C16	9
YDL022W	GPD1	a	0	1	6	C17	13
YDL022W	GPD1	a	0	1	7	C18	15
YDL022W	GPD1	a	0	1	8	C19	17
YDL022W	GPD1	a	0	1	9	C20	16
YDL022W	GPD1	i	0	1	10	C32	10
YDL022W	GPD1	i	0	1	11	C33	13
YDL022W	GPD1	i	0	1	1	C23	10
YDL022W	GPD1	i	0	1	2	C24	9
YDL022W	GPD1	i	0	1	3	C25	11
YDL022W	GPD1	i	0	1	4	C26	11
YDL022W	GPD1	i	0	1	5	C27	19
YDL022W	GPD1	i	0	1	6	C28	12
YDL022W	GPD1	i	0	1	7	C29	9
YDL022W	GPD1	i	0	1	8	C30	9
YDL022W	GPD1	i	0	1	9	C31	15
YFL039C	NA	i	0	1	10	C10	16
YFL039C	NA	i	0	1	11	C11	9
YFL039C	NA	i	0	1	1	C01	9
YFL039C	NA	i	0	1	2	C02	7
YFL039C	NA	i	0	1	3	C03	18
YFL039C	NA	i	0	1	4	C04	10
YFL039C	NA	i	0	1	5	C05	10
YFL039C	NA	i	0	1	6	C06	10
YFL039C	NA	i	0	1	7	C07	6
YFL039C	NA	i	0	1	8	C08	8
YFL039C	NA	i	0	1	9	C09	10
